pvsnr,vsnr,vm,aktiv,spartek,vtr_dau,vtrweg,STORNGRD,gesbeitr,SDANZAHL,SCHAGESA,KOSTGESA,KOSTGEKA,kosten_verw,kosten_prov,plz,alter,SDBEITR5,HSN,KILOMETERSTAND,end_year,end_month,end_day,beg_year,beg_month,beg_day,gfeld_c,ort_id,anr_no,gender_id,plz_id,Customer_beg_year,Electric,car_model
25840173,25840173-001,00 000 1939,0,1,0.0,1,35.0,"126,30",0.0,"0,00","0,00","0,00","0,00","0,00",22850,54.0,"0,00",1727.0,16.0,2022.0,1.0,27.0,2022,1,27,70270,225,71296,2,12084,2022.0,1,256
24880276,24880276-001,00 000 1357,1,2,820.0,4,,"176,60",0.0,"0,00","0,00","0,00","41,53","27,55",68623,36.0,"352,73",588.0,127.437,,,,2023,1,1,70270,1056,71296,2,685,2023.0,1,416
25721586,25721586-085,12 842 2002,0,2,441.0,2,36.0,"400,00",0.0,"0,00","0,00","0,00","59,83","53,15",52070,998.0,"490,24",603.0,,2023.0,9.0,13.0,2022,6,29,70271,1465,71298,4,4838,2022.0,1,1571
27165959,27165959-001,00 000 9059,1,3,112.0,2,,"160,27",0.0,"0,00","0,00","0,00","4,85","5,27",89250,38.0,"49,38",603.0,293.0,,,,2024,12,9,70270,1029,71295,1,4397,2024.0,1,2098
26387459,26387459-001,00 000 1369,0,3,0.0,4,,"57,67",0.0,"0,00","0,00","0,00","0,00","0,00",21147,78.0,"0,00",710.0,89.0,2024.0,1.0,1.0,2024,1,1,70270,127,71296,2,1085,2024.0,1,860
27138494,27138494-001,00 000 7741,1,1,89.0,2,,154.45,0.0,0,0,0,3.49,4.44,1979,71.0,"38,61",8566.0,121.905,,,,2025,1,1,70270,1653,71295,1,1308,2025.0,1,847
27129555,27129555-001,00 000 1357,1,2,89.0,4,,398.61,0.0,0,0,0,12.64,7.53,14772,86.0,"99,65",9101.0,111.0,,,,2025,1,1,70270,355,71295,1,4284,2025.0,1,13
26105434,26105434-001,00 000 9787,1,1,820.0,2,,"187,07",0.0,"0,00","0,00","0,00","34,78","37,94",38350,93.0,"339,31",5984.0,14.2,,,,2023,1,1,70270,3464,71295,1,3417,2023.0,1,170
25796337,25796337-001,00 000 6848,0,2,0.0,2,35.0,"194,67",0.0,"0,00","0,00","0,00","0,00","0,00",91235,998.0,"0,00",8004.0,,2022.0,1.0,1.0,2022,1,1,70270,5427,71298,4,2673,2021.0,1,1994
25820100,25820100-001,00 000 7301,0,2,0.0,2,563.0,"100,87",0.0,"0,00","0,00","0,00","0,00","0,00",14552,60.0,"0,00",8566.0,190.5,2022.0,1.0,1.0,2022,1,1,70270,830,71296,2,9807,2022.0,1,1556
